Name	Title	Description	URL
mark-minden	Mark Minden	Mark Minden at Ontario Cancer Institute	http://www.uhnresearch.ca/researchers/profile.php?lookup=4159
trc	The RNAi Consortium	The RNAi Consortium	http://www.broadinstitute.org/rnai/public/
thomas-reh	Thomas Reh	Thomas Reh at University of Washington Deptartment of Biological Structure	http://faculty.washington.edu/tomreh/
mmrrc	MMRRC	Mutant Mouse Regional Resource Centers	http://www.mmrrc.org/catalog/cellLineSDS.php?mmrrc_id=15890
gary-karpen	Gary Karpen	Gary Karpen at Lawrence Berkeley National Laboratory	http://www2.lbl.gov/lsd/People_&_Organization/Scientific_Staff_Directory/Karpen_Lab.html
susan-celniker	Susan Celniker	Susan Celniker at Lawrence Berkeley National Laboratory	http://www2.lbl.gov/lsd/People_&_Organization/Scientific_Staff_Directory/Celniker_Lab.html
christine-disteche	Christine Disteche	Christine Disteche at University of Washington	http://depts.washington.edu/chdd/iddrc/res_aff/disteche.html
human-orfeome	Human ORFeome	The CCSB Human ORFeome Collection	http://horfdb.dfci.harvard.edu/index.php?page=home
dssc	Drosophila Species Stock Center	Drosophila Species Stock Center at UCSD	https://stockcenter.ucsd.edu/info/welcome.php
agilent	Agilent	Agilent	http://www.home.agilent.com
zen-bioscience	Zen Bioscience	Zen Bioscience	http://www.zen-bioscience.com/new/
miguel-ramalho-santos	Miguel Ramalho-Santos	Miguel Ramalho-Santos at University of California, San Francisco	http://santoslab.ucsf.edu/lab_site/Home.html
genhong-cheng	Genhong Cheng	Genhong Cheng Lab at University of California, Los Angeles	http://www.mimg.ucla.edu/faculty/cheng/
millipore	Millipore	EMD Millipore	http://www.emdmillipore.com
anthony-hyman	Anthony Hyman	Anthony Hyman at Max Planck Institute of Molecular Cell Biology and Genetics	http://hymanlab.mpi-cbg.de/hyman_lab/
paul-schedl-and-jason-blanton-and-greg-shanower	Paul Schedl, Jason Blanton and Greg Shanowe	Paul Schedl, Jason Blanton and Greg Shanower at Princeton University	http://www.molbio1.princeton.edu/labs/schedl/
ian-glass	Ian Glass	Ian Glass at Congenital Defects Lab, University of Washington	http://depts.washington.edu/genediv/directory/iglass
arthur-weiss	Arthur Weiss	Arthur Weiss at UCSF	http://sabre.ucsf.edu/executive/arthur_weiss.html
paul-khavari	Paul Khavari	Paul Khavari's lab at Stanford University	http://khavarilab.stanford.edu/#the-khavari-lab
robert-horvitz	Robert Horvitz	Robert Horvitz at Massachusetts Institute of Technology	http://web.mit.edu/horvitz/www/horvitzlab.html
david-anderson	David Anderson	David Anderson at Protein Expression Center	http://www.cns.caltech.edu/people/faculty/anderson.html
abnova	Abnova	Abnova	http://www.abnova.com
ulrich-laemmli	Ulrich Laemmli	Ulrich Laemmli at University of Geneva	http://www.molbio.unige.ch/fra/research_groups/laemmli/lab
active-motif	Active Motif	Active Motif	http://www.activemotif.com
proteintech	Proteintech	Proteintech	http://www.ptglab.com
repocell	ReproCELL	ReproCELL	https://www.reprocell.com
vincenzo-pirrotta	Vincenzo Pirrotta	Vincenzo Pirrotta at Rutgers University	http://molbiosci.rutgers.edu/faculty/pirrotta.html
alan-mackay-sim	Alan Mackay-Sim	Alan Mackay-Sim at Griffith University	http://www.griffith.edu.au/professional-page/professor-alan-mackay-sim
dsmz	DSMZ	Leibniz Institute DSMZ	http://www.dsmz.de/
david-herrmann	David Herrmann	David Herrmann at Rochester University	http://rarediseasesnetwork.epi.usf.edu/INC/centers/rochester.htm
everest-biotech	Everest Biotech	Everest Biotech	http://everestbiotech.com/
lonza	Lonza	Lonza Group Ltd.	http://www.lonza.com/
